ID,MnKa1,FeKa1,ZnKa1,GaKa1,ThLa1,RbKa1,SrKa1,Y Ka1,ZrKa1,NbKa1,Source,Type
ID036,251.8489425,12909.80723,64.81329207,19.2810424,25.03985512,164.6805259,35.86838969,49.63903507,327.6836824,36.87546436,Source 1,Source
ID808,338.6489,17048.5,78.52423,15.81397,21.13204,130.7982,56.21374,53.33309,423.5603,40.70285,Source 1,Source
ID791,407.2523217,17102.78979,92.93751802,19.88430036,19.14515087,136.566312,48.59447731,58.50295451,434.0415614,43.76315956,Source 1,Source
ID3010,245.3766278,14549.53681,63.55009133,17.94402746,22.94441281,145.984203,43.10231971,48.67249382,341.7885858,34.77801757,Source 1,Source
ID1026,371.6374235,15633.22916,76.93073834,16.50173429,20.00234259,127.4774346,56.18706244,52.22683386,394.5392354,42.23716897,Source 1,Source
ID1081,292.7326957,15692.13739,69.87445541,18.60972953,23.45963692,144.667311,41.05884186,56.23586248,396.1343083,43.46080647,Source 1,Source
ID669,227.7844396,13198.3292,70.66327949,17.85907582,19.55992663,123.0636033,36.27612741,45.92322241,330.6018761,38.53243536,Source 1,Source
ID804,338.0134967,18694.83584,71.08116058,19.53299501,23.22182017,144.211551,56.33450347,60.4954123,461.8630288,46.01489838,Source 1,Source
ID798,400.432475,17733.52932,67.25568319,19.77589379,20.04069299,149.6437224,69.16288842,62.13259254,487.8889355,47.59716876,Source 1,Source
ID170,183.2514368,10046.26285,89.77823094,15.46674659,22.43636078,120.1856324,24.70160147,37.18324111,231.7928152,27.73983101,Source 1,Source
ID760,188.7960802,11341.46668,70.26312996,15.30412677,18.73214792,133.8720893,31.17082983,41.7355885,293.8051951,31.13350945,Source 1,Source
ID1048,192.9319014,12788.15048,58.55737215,17.68986556,25.59959421,156.2586248,35.00677548,50.2239445,307.1810066,34.68331485,Source 1,Source
ID4710,459.9940879,25721.69484,177.7189544,28.47960104,42.98863003,242.8305772,45.83115143,58.7269366,414.2779045,47.72450802,Source 1,Source
ID018,165.7751089,11186.53908,66.92911207,19.84538943,22.87264009,140.5487633,29.47096064,44.9603194,268.3849252,31.77214768,Source 1,Source
ID298,150.0406602,13812.66859,54.80090983,22.20164554,25.66665565,176.8811671,33.1852309,52.55289462,329.9106073,39.48698483,Source 1,Source
ID6101,188.2960598,8626.049124,100.9374659,16.54045002,21.05359724,105.0949902,22.69393834,31.48269309,211.6021726,21.72508008,Source 1,Source
ID940,156.9944555,8186.218108,72.59277974,16.43056218,19.68139259,105.0522873,23.29973948,35.70510956,217.75605,27.06849721,Source 1,Source
ID437,218.3023033,13563.55607,51.48124978,19.92713867,26.30461156,159.0072062,37.30577109,53.25557185,326.0743025,36.17822693,Source 1,Source
ID5910,157.8575546,9127.763822,65.04281832,16.67051257,18.65546868,117.9496842,27.75736116,37.28091917,229.9773226,27.89346841,Source 1,Source
ID1042,224.6338638,10542.65891,66.28069461,17.51368752,20.46608563,141.5894579,28.37271028,44.35501287,274.6304065,31.0421451,Source 1,Source
ID1058,218.1062587,12976.61117,55.12558199,18.54122545,24.24990972,160.8212179,34.44944727,47.65010449,324.427547,35.93308371,Source 1,Source
ID4610,277.1086135,10812.66777,80.59349738,17.62559246,18.44803736,119.5692543,29.20999481,39.25059152,257.97404,26.93788745,Source 1,Source
ID591,248.9814967,12465.36112,89.25927414,23.46669473,28.56038352,156.6848785,32.86457713,46.02070696,291.1494018,33.4006679,Source 1,Source
ID626,185.679633,8927.069201,108.9557055,13.26493006,20.65959267,106.6705597,23.41744481,33.33339665,223.3706511,25.26183661,Source 1,Source
ID4110,169.3366776,8967.026461,74.47239999,14.0981038,15.55413593,104.4001529,27.41103646,32.58360366,231.4269335,23.52693727,Source 1,Source
ID449,231.9084614,12237.20578,61.34747267,19.2119632,24.4183334,153.3981424,30.15252173,48.2228752,304.7881551,34.24904257,Source 1,Source
ID551,186.3931729,12395.70614,62.00695776,18.63751356,23.90422597,154.1941103,32.74554505,47.50390436,307.9941314,35.33017126,Source 1,Source
ID795,224.6938246,12800.14089,56.05651932,19.57036185,25.94149348,164.7576742,33.97606082,51.44065952,341.5504735,38.32793986,Source 1,Source
ID719,226.9938752,11590.16197,52.9987721,18.04911621,23.04475839,149.6478997,32.48043344,48.40330637,303.7522845,35.52904462,Source 1,Source
ID6100,153.2556567,10936.54098,62.80788857,16.61985799,20.88881176,135.0860381,29.16068818,41.63397436,290.9884043,32.3155394,Source 1,Source
ID198,382.4286433,6150.60862,44.18238336,20.74653143,24.83186238,231.9103806,6.764943088,49.9910729,98.8559831,28.29420334,Source 2,Source
ID561,451.9261595,6022.732799,40.74216464,19.51500321,24.22911224,248.8541286,5.55122939,52.56028818,98.83144372,31.13061576,Source 2,Source
ID232,445.4930529,5947.379536,47.69974771,22.33112737,27.42211551,255.5841957,4.174231093,56.08411193,101.3929913,33.94936375,Source 2,Source
ID115,413.5134121,6367.338802,50.53124381,21.81131939,25.52797914,243.2689669,6.192492656,52.05200443,98.0266087,29.97807761,Source 2,Source
ID572,425.1795519,6176.415626,42.0681924,19.24131385,25.01633852,230.8612485,6.718365834,46.97601621,101.0639615,27.03023289,Source 2,Source
ID706,403.159202,6058.531461,40.18692594,20.50664585,24.97914562,236.6689638,5.501726049,53.04026488,100.4822885,30.79981601,Source 2,Source
ID733,391.7711151,5989.509345,38.55512445,22.21084719,25.07399829,242.699257,5.603039205,51.51938345,95.5861284,29.77790933,Source 2,Source
ID104,468.3753427,5845.255482,44.17755508,22.98699567,27.22520633,268.4088857,2.747128331,62.54305335,102.1949894,35.38062876,Source 2,Source
ID696,419.3751264,5859.73494,41.35449873,19.46082315,27.35902683,259.3039163,3.063323286,59.78186475,104.0002142,35.09635366,Source 2,Source
ID801,171.7295791,6243.337826,30.53049476,18.57590885,19.23359174,114.8659584,59.65269296,32.05166861,88.18520516,14.33585784,Source 3,Source
ID996,215.3031674,6560.746647,33.04285658,19.85026475,18.5665396,117.5066543,65.55163182,32.56699058,92.07554659,13.7161233,Source 3,Source
ID443,192.96784,6388.976252,36.78577935,19.83124515,19.08246999,110.1353273,60.46590024,29.4069745,86.40965599,14.12490178,Source 3,Source
ID806,287.6532022,4366.0444,43.91023997,15.96181187,17.80709916,129.5915521,26.78864388,18.45922663,87.66310102,17.26268402,Source 4,Source
ID673,297.7333446,4466.094001,41.51040132,17.96322453,16.04030114,136.6653006,26.92275221,16.942473,89.2555379,18.53696906,Source 4,Source
ID089,302.7957059,4540.113302,46.66370737,19.28712383,15.26124447,141.6203596,27.56402191,16.54047311,89.94243531,17.79384968,Source 4,Source
ID9105,351.705296,4555.3896,46.96751668,20.12407529,16.77558175,141.6202669,29.72333066,17.40347558,92.12411136,19.69199187,Source 4,Source
ID1101,324.8638606,4595.796678,36.16446099,17.24612153,17.88288365,143.2215576,27.12191214,17.45026951,93.78651169,17.77688388,Source 4,Source
ID902,335.5020748,5237.95549,37.19487751,19.39433478,21.35087398,175.7216581,33.47669641,20.79102611,113.7487342,22.97601989,Source 4,Source
ID8106,466.4911865,6407.233712,41.00753561,22.19483644,63.84088181,454.1600482,0.89612944,46.07398163,135.233077,68.6408155,Source 5,Source
ID826,410.9731936,6366.487108,41.58274869,21.80751218,63.04755023,419.2612825,1.298475207,45.92197917,135.9275643,63.21447541,Source 5,Source
